Date,Price,Date2,Open,High,Low,Price2,Vol.,Change %,Column1,valitability in ($),Daily valitability in %,,,,,,,,,,,,,,,,,
21-Apr-20,"2,736.56",21-Apr-20,"2,784.81","2,785.54","2,727.10","2,736.56",-,-3.07%,3%,58.44,2.10%,,,,,,,,,,,,,,,,,
20-Apr-20,"2,823.16",20-Apr-20,"2,845.62","2,868.98","2,820.43","2,823.16",-,-1.79%,2%,48.55,1.71%,,,,,,,,,,,,,,,,,
17-Apr-20,"2,874.56",17-Apr-20,"2,842.43","2,879.22","2,830.88","2,874.56",-,2.68%,3%,48.34,1.70%,,,,,,,,,,,,,,,,,
16-Apr-20,"2,799.55",16-Apr-20,"2,799.34","2,806.51","2,764.32","2,799.55",-,0.58%,1%,42.19,1.51%,,,,,,,,,,,,,,,,,
15-Apr-20,"2,783.36",15-Apr-20,"2,795.64","2,801.88","2,761.54","2,783.36",-,-2.20%,2%,40.34,1.44%,,,,,,,,,,,,,,,,,
14-Apr-20,"2,846.06",14-Apr-20,"2,805.10","2,851.85","2,805.10","2,846.06",-,3.06%,3%,46.75,1.67%,,,,,,,Highest price ever,"$3,393.52 ",,,,,,,,,
13-Apr-20,"2,761.63",13-Apr-20,"2,782.46","2,782.46","2,721.17","2,761.63",-,-1.01%,1%,61.29,2.20%,,,,,,,Lowest Price ever,"$2,191.86 ",,,,,,,,,
9-Apr-20,"2,789.82",9-Apr-20,"2,776.99","2,818.57","2,762.36","2,789.82",-,1.45%,1%,56.21,2.02%,,,,,,,Standard Deviation,202.7953967,,,,,,,,,
8-Apr-20,"2,749.98",8-Apr-20,"2,685.00","2,760.75","2,663.30","2,749.98",-,3.41%,3%,97.45,3.63%,,,,,,,highest price movement,12%,,,,,,,,,
7-Apr-20,"2,659.41",7-Apr-20,"2,738.65","2,756.89","2,657.67","2,659.41",-,-0.16%,0%,99.22,3.62%,,,,,,,Lowest Price movement,0%,,,,,,,,,
6-Apr-20,"2,663.68",6-Apr-20,"2,578.28","2,676.85","2,574.57","2,663.68",-,7.03%,7%,102.28,3.97%,,,,,,,Average daily volatility,1.28%,,,,,,,,,
3-Apr-20,"2,488.65",3-Apr-20,"2,514.92","2,538.18","2,459.96","2,488.65",-,-1.51%,2%,78.22,3.11%,,,,,,,highest price [provision],"$3,799.11 ",,,,,,,,,
2-Apr-20,"2,526.90",2-Apr-20,"2,458.54","2,533.22","2,455.79","2,526.90",-,2.28%,2%,77.43,3.15%,,,,,,,lowest price [provision],"$1,786.27 ",,,,,,,,,
1-Apr-20,"2,470.50",1-Apr-20,"2,498.08","2,522.75","2,447.49","2,470.50",-,-4.41%,4%,75.26,3.01%,,,,,,,,,,,,,,,,,
31-Mar-20,"2,584.59",31-Mar-20,"2,614.69","2,641.39","2,571.15","2,584.59",-,-1.60%,2%,70.24,2.69%,,,,,,,,,,,,,,,,,
30-Mar-20,"2,626.65",30-Mar-20,"2,558.98","2,631.80","2,545.28","2,626.65",-,3.35%,3%,86.52,3.38%,,,,,,,,,,,,,,,,,
